stop_id,stop_name,stop_lon,stop_lat
shp_429-0-0,stop shp_429-0-0,32.53,15.21
shp_431-0-0,stop shp_431-0-0,32.58,15.54
shp_435-0-0,stop shp_435-0-0,32.51,15.44
shp_437-0-1,stop shp_437-0-1,32.66,15.29
shp_438-0-1,stop shp_438-0-1,32.47,15.46
shp_439-0-1,stop shp_439-0-1,32.58,15.26
shp_441-0-0,stop shp_441-0-0,32.56,15.53
shp_442-0-0,stop shp_442-0-0,32.68,15.42
shp_443-0-1,stop shp_443-0-1,32.53,15.32
shp_444-0-1,stop shp_444-0-1,32.7,15.5
shp_445-0-1,stop shp_445-0-1,32.6,15.58
shp_446-0-1,stop shp_446-0-1,32.63,15.54
shp_447-0-1,stop shp_447-0-1,32.65,15.61
shp_448-0-1,stop shp_448-0-1,32.62,15.66
shp_449-0-1,stop shp_449-0-1,32.63,15.65
shp_45-0-0,stop shp_45-0-0,32.51,15.56
shp_451-0-1,stop shp_451-0-1,32.64,15.64
shp_453-0-0,stop shp_453-0-0,32.65,15.56
shp_453-0-1,stop shp_453-0-1,32.96,15.28
shp_459-0-1,stop shp_459-0-1,32.59,15.62
shp_461-0-1,stop shp_461-0-1,32.72,15.51
shp_462-0-1,stop shp_462-0-1,32.64,15.61
shp_466-0-1,stop shp_466-0-1,32.72,15.61
shp_467-0-1,stop shp_467-0-1,32.72,15.69
shp_49-0-1,stop shp_49-0-1,32.53,15.54
shp_514-0-1,stop shp_514-0-1,32.34,15.65
shp_518-0-0,stop shp_518-0-0,32.45,15.58
shp_522-0-0,stop shp_522-0-0,32.46,15.57
shp_524-0-0,stop shp_524-0-0,32.39,15.65
shp_528-0-0,stop shp_528-0-0,32.42,15.52
shp_53-0-1,stop shp_53-0-1,32.5,15.55
shp_532-0-0,stop shp_532-0-0,32.41,15.53
shp_535-0-0,stop shp_535-0-0,32.36,15.67
shp_536-0-0,stop shp_536-0-0,32.32,15.64
shp_537-0-0,stop shp_537-0-0,32.3,15.65
shp_538-0-0,stop shp_538-0-0,32.35,15.66
shp_544-0-0,stop shp_544-0-0,32.45,15.73
shp_549-0-0,stop shp_549-0-0,32.84,15.43
shp_549-0-1,stop shp_549-0-1,32.8,15.36
shp_55-0-1,stop shp_55-0-1,32.51,15.54
shp_550-0-0,stop shp_550-0-0,32.53,15.59
shp_550-0-1,stop shp_550-0-1,32.78,15.5
shp_551-0-1,stop shp_551-0-1,33.08,15.24
shp_552-0-1,stop shp_552-0-1,33.27,15.34
shp_56-0-1,stop shp_56-0-1,32.52,15.52
shp_57-0-1,stop shp_57-0-1,32.52,15.51
shp_577-0-0,stop shp_577-0-0,32.73,15.61
shp_578-0-0,stop shp_578-0-0,32.64,15.65
shp_578-0-1,stop shp_578-0-1,32.64,15.62
shp_579-0-0,stop shp_579-0-0,32.62,15.64
