stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
shp_368-0-0,,stop shp_368-0-0,,15.557316,32.532093,,,,,,,
shp_368-0-1,,stop shp_368-0-1,,15.495699,32.581693,,,,,,,
shp_37-0-0,,stop shp_37-0-0,,15.627403,32.468267,,,,,,,
shp_37-0-1,,stop shp_37-0-1,,15.594309,32.520490,,,,,,,
shp_370-0-0,,stop shp_370-0-0,,15.337699,32.784925,,,,,,,
shp_370-0-1,,stop shp_370-0-1,,15.530715,32.551081,,,,,,,
shp_374-0-0,,stop shp_374-0-0,,15.466483,32.693219,,,,,,,
shp_374-0-1,,stop shp_374-0-1,,15.530715,32.551081,,,,,,,
shp_376-0-0,,stop shp_376-0-0,,15.592950,32.523307,,,,,,,
shp_378-0-0,,stop shp_378-0-0,,15.495700,32.581701,,,,,,,
shp_378-0-1,,stop shp_378-0-1,,15.530715,32.551081,,,,,,,
shp_381-0-0,,stop shp_381-0-0,,15.592950,32.523307,,,,,,,
shp_382-0-0,,stop shp_382-0-0,,15.500828,32.615291,,,,,,,
shp_382-0-1,,stop shp_382-0-1,,15.530715,32.551081,,,,,,,
shp_384-0-0,,stop shp_384-0-0,,15.241850,32.501210,,,,,,,
shp_384-0-1,,stop shp_384-0-1,,15.218118,32.530520,,,,,,,
shp_386-0-0,,stop shp_386-0-0,,15.495700,32.581701,,,,,,,
shp_386-0-1,,stop shp_386-0-1,,15.533691,32.568328,,,,,,,
shp_389-0-0,,stop shp_389-0-0,,15.531216,32.551076,,,,,,,
shp_389-0-1,,stop shp_389-0-1,,15.218162,32.530562,,,,,,,
shp_39-0-0,,stop shp_39-0-0,,15.646357,32.477465,,,,,,,
shp_39-0-1,,stop shp_39-0-1,,15.627486,32.468291,,,,,,,
shp_390-0-0,,stop shp_390-0-0,,15.594524,32.521887,,,,,,,
shp_390-0-1,,stop shp_390-0-1,,15.218118,32.530520,,,,,,,
shp_392-0-0,,stop shp_392-0-0,,15.594524,32.521887,,,,,,,
shp_392-0-1,,stop shp_392-0-1,,15.432764,32.508530,,,,,,,
shp_395-0-0,,stop shp_395-0-0,,15.594524,32.521887,,,,,,,
shp_396-0-0,,stop shp_396-0-0,,15.594873,32.521831,,,,,,,
shp_396-0-1,,stop shp_396-0-1,,15.450806,32.465078,,,,,,,
